id,producto,categoria,cantidad,precio_unitario,total,fecha,region,descuento
55794,Módulo Ultra 252,ropa,8,299.17,2393.36,2025-11-08,Norte,0.28
82368,Pack Plus 112,hogar,13,118.51,1540.63,2025-10-08,Norte,0.09
96446,Set Pro 493,libros,5,662.71,3313.55,2025-08-15,Norte,0.03
53111,Pack Pro 699,juguetes,8,304.27,2434.16,2026-02-24,Este,0.07
10647,Set Mini 577,juguetes,10,221.39,2213.9,2025-12-25,Sur,0.09
30916,Kit Lite 277,electrónica,15,308.09,4621.35,2026-03-11,Centro,0.14
10654,Dispositivo Pro 762,electrónica,8,955.46,7643.68,2025-10-30,Este,0.17
53105,Unidad Plus 755,hogar,4,321.69,1286.76,2025-06-21,Sur,0.1
13603,Set Smart 544,libros,13,449.0,5837.0,2025-06-22,Este,0.29
11036,Set Ultra 733,hogar,17,804.8,13681.6,2026-02-19,Oeste,0.15
94240,Kit Plus 899,hogar,6,954.28,5725.68,2025-08-14,Este,0.16
27629,Dispositivo Mini 659,libros,8,191.43,1531.44,2025-07-26,Sur,0.07
74007,Unidad Ultra 921,electrónica,18,590.01,10620.18,2025-08-04,Sur,0.19
92796,Kit Pro 101,alimentación,7,897.78,6284.46,2026-01-23,Este,0.22
59393,Sistema Lite 319,alimentación,14,295.67,4139.38,2025-12-28,Centro,0.14
48818,Set Plus 786,deportes,10,686.32,6863.2,2025-07-06,Centro,0.0
81088,Dispositivo Mini 211,hogar,3,365.13,1095.39,2025-10-26,Norte,0.03
51090,Unidad Pro 157,deportes,8,785.15,6281.2,2026-03-08,Norte,0.2
39686,Set Mini 389,alimentación,1,764.11,764.11,2025-08-08,Este,0.06
98775,Unidad Lite 225,alimentación,15,405.5,6082.5,2025-04-30,Sur,0.28
27310,Set Max 255,juguetes,3,379.81,1139.43,2025-05-03,Oeste,0.21
81648,Kit Lite 894,alimentación,18,925.47,16658.46,2025-08-07,Sur,0.26
66918,Pack Plus 539,ropa,12,929.55,11154.6,2025-10-24,Centro,0.06
50118,Módulo Smart 230,alimentación,3,743.71,2231.13,2025-05-18,Sur,0.15
79050,Pack Plus 454,deportes,13,676.17,8790.21,2026-01-14,Oeste,0.24
85402,Set Pro 934,ropa,11,442.18,4863.98,2025-12-18,Norte,0.26
60113,Sistema Pro 439,electrónica,20,367.14,7342.8,2026-02-15,Oeste,0.14
65980,Set Pro 353,deportes,2,229.63,459.26,2025-07-13,Norte,0.19
51545,Kit Mini 448,hogar,8,757.0,6056.0,2025-12-12,Este,0.23
50954,Hub Plus 921,electrónica,1,442.75,442.75,2026-02-12,Norte,0.08
14772,Sistema Max 299,deportes,4,48.04,192.16,2025-07-06,Este,0.28
97864,Hub Pro 266,hogar,1,69.01,69.01,2026-01-12,Sur,0.02
23924,Dispositivo Ultra 533,ropa,16,925.74,14811.84,2025-09-12,Sur,0.03
52234,Módulo Plus 444,alimentación,17,910.65,15481.05,2026-01-23,Este,0.16
84667,Hub Mini 135,deportes,15,608.65,9129.75,2025-11-02,Este,0.11
53333,Dispositivo Lite 411,electrónica,10,689.84,6898.4,2025-09-07,Sur,0.1
40716,Set Max 333,electrónica,11,751.57,8267.27,2026-02-15,Este,0.16
65185,Unidad Ultra 723,juguetes,12,717.59,8611.08,2025-08-18,Oeste,0.14
26875,Set Plus 326,hogar,5,91.81,459.05,2025-05-03,Este,0.13
64056,Unidad Smart 941,ropa,12,553.86,6646.32,2025-08-27,Sur,0.23
49053,Dispositivo Mini 291,electrónica,17,12.8,217.6,2025-09-16,Centro,0.23
67174,Kit Premium 548,hogar,17,177.09,3010.53,2026-02-12,Este,0.11
77222,Pack Plus 702,deportes,20,180.2,3604.0,2026-01-24,Centro,0.07
71215,Kit Lite 357,electrónica,19,16.18,307.42,2025-11-02,Norte,0.2
14715,Kit Pro 506,hogar,20,200.11,4002.2,2025-09-17,Sur,0.29
75232,Módulo Plus 752,electrónica,8,670.73,5365.84,2025-12-30,Norte,0.21
86029,Hub Pro 379,juguetes,11,477.56,5253.16,2026-01-07,Oeste,0.13
29858,Dispositivo Mini 783,alimentación,19,622.39,11825.41,2025-12-16,Norte,0.28
83442,Hub Smart 780,ropa,10,490.13,4901.3,2025-05-04,Este,0.07
60862,Sistema Ultra 891,juguetes,10,632.18,6321.8,2025-09-05,Sur,0.23
29827,Unidad Pro 353,electrónica,6,124.53,747.18,2025-11-08,Norte,0.21
32269,Hub Max 733,libros,18,738.79,13298.22,2026-01-11,Centro,0.14
85058,Set Lite 445,libros,2,414.66,829.32,2025-07-12,Sur,0.26
56582,Kit Plus 683,hogar,16,603.6,9657.6,2025-12-09,Centro,0.24
39321,Sistema Plus 551,juguetes,11,486.86,5355.46,2025-06-25,Este,0.25
36817,Módulo Pro 785,electrónica,13,234.69,3050.97,2026-02-05,Sur,0.18
95889,Unidad Max 168,electrónica,10,999.37,9993.7,2026-02-03,Norte,0.22
78313,Módulo Max 334,deportes,8,895.22,7161.76,2025-10-26,Norte,0.29
69563,Unidad Smart 836,ropa,7,900.27,6301.89,2026-01-28,Norte,0.27
60809,Kit Max 492,electrónica,19,617.46,11731.74,2025-05-15,Este,0.16
96022,Módulo Max 841,libros,10,301.11,3011.1,2025-06-15,Este,0.1
30292,Hub Ultra 810,ropa,19,754.53,14336.07,2025-07-26,Oeste,0.07
49454,Unidad Pro 515,hogar,7,269.85,1888.95,2025-08-29,Sur,0.16
18941,Kit Mini 144,electrónica,4,123.73,494.92,2025-05-16,Sur,0.07
12640,Módulo Smart 787,hogar,7,724.14,5068.98,2025-05-29,Este,0.21
42912,Kit Smart 443,libros,2,508.06,1016.12,2025-11-30,Este,0.3
22132,Unidad Lite 163,juguetes,14,45.35,634.9,2025-06-02,Este,0.23
94974,Módulo Ultra 384,deportes,9,548.79,4939.11,2025-10-30,Este,0.06
53919,Kit Lite 101,hogar,2,858.22,1716.44,2025-10-14,Centro,0.05
58504,Dispositivo Smart 322,alimentación,14,511.41,7159.74,2025-12-06,Norte,0.2
56266,Sistema Pro 421,deportes,10,592.5,5925.0,2025-04-23,Norte,0.01
17386,Sistema Smart 862,juguetes,20,934.59,18691.8,2025-03-20,Sur,0.15
41981,Módulo Premium 551,alimentación,13,245.52,3191.76,2025-09-18,Oeste,0.25
29824,Kit Max 644,alimentación,13,806.18,10480.34,2025-10-16,Centro,0.11
77708,Unidad Pro 166,alimentación,20,893.56,17871.2,2025-10-16,Oeste,0.2
61144,Unidad Pro 136,alimentación,9,840.66,7565.94,2025-12-31,Sur,0.02
90311,Sistema Plus 834,juguetes,5,446.78,2233.9,2025-10-13,Oeste,0.0
66975,Hub Premium 554,alimentación,9,964.65,8681.85,2025-06-03,Norte,0.15
56998,Set Mini 412,libros,13,733.64,9537.32,2025-04-23,Este,0.15
13170,Dispositivo Premium 759,juguetes,7,162.31,1136.17,2025-08-18,Norte,0.13
46807,Módulo Plus 689,deportes,7,261.25,1828.75,2025-09-05,Oeste,0.12
13891,Kit Mini 211,electrónica,20,699.68,13993.6,2025-04-23,Este,0.03
28950,Dispositivo Premium 617,ropa,2,826.98,1653.96,2025-11-16,Norte,0.09
73564,Pack Pro 439,ropa,12,331.21,3974.52,2025-05-07,Sur,0.21
37493,Unidad Lite 545,ropa,5,110.21,551.05,2025-11-24,Este,0.1
70640,Dispositivo Ultra 239,alimentación,7,257.48,1802.36,2026-03-15,Este,0.13
65144,Pack Premium 502,deportes,18,993.93,17890.74,2025-03-28,Este,0.15
30430,Dispositivo Max 283,alimentación,14,848.45,11878.3,2025-12-16,Este,0.15
64077,Unidad Smart 990,deportes,3,700.08,2100.24,2025-08-25,Oeste,0.24
88764,Set Plus 119,libros,17,959.68,16314.56,2025-12-07,Oeste,0.08
95287,Hub Ultra 211,ropa,3,398.08,1194.24,2025-12-20,Este,0.02
37197,Módulo Ultra 462,alimentación,2,982.48,1964.96,2025-07-28,Este,0.11
83580,Pack Ultra 533,electrónica,20,843.48,16869.6,2026-03-12,Oeste,0.21
83945,Dispositivo Plus 895,alimentación,4,408.35,1633.4,2025-05-27,Oeste,0.21
13070,Unidad Mini 797,deportes,19,485.63,9226.97,2025-06-05,Centro,0.05
91027,Unidad Premium 946,libros,14,397.42,5563.88,2025-04-12,Este,0.17
92020,Unidad Lite 164,ropa,10,286.83,2868.3,2025-06-10,Sur,0.03
39979,Hub Lite 726,juguetes,7,967.16,6770.12,2025-09-17,Norte,0.02
31255,Set Mini 844,alimentación,19,687.55,13063.45,2026-02-12,Este,0.2
24834,Pack Mini 219,libros,15,290.84,4362.6,2025-12-05,Centro,0.23
92631,Módulo Premium 673,juguetes,2,824.34,1648.68,2025-07-19,Norte,0.09
95830,Kit Mini 979,alimentación,9,390.32,3512.88,2025-11-02,Norte,0.21
61389,Dispositivo Max 328,libros,2,534.78,1069.56,2025-06-23,Este,0.29
51749,Kit Ultra 226,ropa,17,833.03,14161.51,2025-12-03,Norte,0.08
84454,Módulo Ultra 582,electrónica,20,821.3,16426.0,2025-05-16,Sur,0.09
80308,Pack Pro 506,deportes,8,529.28,4234.24,2025-10-03,Oeste,0.27
15108,Módulo Max 731,juguetes,14,87.67,1227.38,2025-07-27,Norte,0.16
27173,Set Mini 914,alimentación,19,775.54,14735.26,2025-10-14,Este,0.25
46534,Sistema Lite 279,libros,20,833.33,16666.6,2026-03-09,Oeste,0.23
29908,Unidad Plus 296,alimentación,7,24.27,169.89,2025-11-14,Oeste,0.17
42470,Hub Ultra 496,libros,6,39.24,235.44,2025-09-14,Centro,0.11
46859,Módulo Mini 887,electrónica,9,384.89,3464.01,2025-07-14,Centro,0.13
61638,Sistema Pro 498,hogar,1,559.7,559.7,2025-09-01,Este,0.08
78435,Set Plus 737,juguetes,5,252.38,1261.9,2026-01-28,Centro,0.1
21061,Unidad Smart 145,ropa,2,297.8,595.6,2025-07-27,Este,0.29
90557,Módulo Plus 278,juguetes,6,186.01,1116.06,2025-04-15,Norte,0.06
65261,Kit Ultra 619,electrónica,12,862.41,10348.92,2025-12-24,Este,0.28
55510,Unidad Pro 478,libros,11,51.28,564.08,2025-12-01,Sur,0.23
10101,Dispositivo Smart 135,ropa,6,785.86,4715.16,2025-10-02,Norte,0.13
73466,Pack Ultra 335,alimentación,6,806.19,4837.14,2025-05-25,Centro,0.11
20583,Pack Smart 763,deportes,9,244.03,2196.27,2025-11-26,Norte,0.08
84266,Set Premium 951,juguetes,19,764.1,14517.9,2025-07-15,Sur,0.12
66185,Kit Mini 439,electrónica,1,770.43,770.43,2025-11-19,Este,0.28
47502,Kit Smart 912,deportes,8,402.52,3220.16,2025-04-23,Centro,0.26
50539,Sistema Plus 106,ropa,3,524.57,1573.71,2025-10-18,Norte,0.13
32104,Set Pro 712,juguetes,17,790.1,13431.7,2025-09-04,Norte,0.06
66028,Sistema Plus 868,hogar,11,972.26,10694.86,2026-03-18,Norte,0.18
18149,Sistema Smart 370,juguetes,15,23.17,347.55,2025-09-20,Oeste,0.28
89969,Unidad Lite 937,electrónica,1,71.24,71.24,2025-09-01,Centro,0.03
44235,Hub Ultra 678,ropa,7,435.54,3048.78,2025-03-25,Sur,0.18
44744,Módulo Premium 423,alimentación,4,558.15,2232.6,2025-12-02,Sur,0.16
41181,Hub Premium 460,libros,19,742.07,14099.33,2025-03-28,Este,0.12
74140,Dispositivo Mini 364,alimentación,20,607.57,12151.4,2025-04-08,Norte,0.25
53243,Sistema Max 327,ropa,14,554.45,7762.3,2025-06-28,Oeste,0.0
87589,Dispositivo Smart 565,alimentación,13,278.38,3618.94,2025-09-14,Sur,0.29
35433,Dispositivo Plus 470,libros,9,847.07,7623.63,2025-06-14,Centro,0.08
28913,Sistema Max 822,alimentación,16,301.4,4822.4,2025-07-29,Centro,0.29
27236,Unidad Plus 595,electrónica,6,582.7,3496.2,2026-03-15,Este,0.26
34666,Dispositivo Plus 598,hogar,6,825.23,4951.38,2025-10-30,Norte,0.08
60562,Kit Mini 416,juguetes,6,561.84,3371.04,2025-12-02,Centro,0.09
54643,Sistema Lite 472,hogar,9,382.08,3438.72,2025-06-27,Oeste,0.11
27018,Pack Mini 437,electrónica,10,266.36,2663.6,2025-05-07,Sur,0.23
39890,Pack Pro 246,deportes,15,126.79,1901.85,2026-03-11,Sur,0.09
92402,Unidad Ultra 400,libros,19,665.95,12653.05,2025-05-08,Centro,0.12
20832,Kit Premium 714,alimentación,10,454.35,4543.5,2025-08-30,Este,0.17
31051,Hub Lite 631,hogar,19,496.49,9433.31,2025-06-07,Norte,0.15
44262,Dispositivo Max 454,electrónica,9,839.76,7557.84,2025-04-04,Sur,0.07
63821,Hub Pro 698,alimentación,17,271.95,4623.15,2025-06-14,Norte,0.13
73102,Sistema Plus 792,juguetes,11,127.77,1405.47,2025-05-13,Oeste,0.29
44641,Kit Pro 654,alimentación,4,538.79,2155.16,2025-12-10,Norte,0.13
88764,Sistema Pro 646,electrónica,3,891.13,2673.39,2025-11-10,Norte,0.11
18471,Dispositivo Smart 649,libros,5,404.24,2021.2,2025-06-28,Este,0.28
88531,Módulo Pro 947,electrónica,14,814.29,11400.06,2025-08-14,Centro,0.11
99806,Unidad Premium 307,hogar,11,98.02,1078.22,2025-09-24,Centro,0.21
93548,Módulo Lite 990,juguetes,19,708.4,13459.6,2025-11-19,Este,0.18
27264,Módulo Smart 878,deportes,13,191.23,2485.99,2026-02-22,Este,0.21
27177,Módulo Lite 737,hogar,5,628.39,3141.95,2025-09-25,Norte,0.13
29645,Sistema Pro 646,libros,18,529.47,9530.46,2026-01-19,Centro,0.19
42758,Dispositivo Plus 187,deportes,18,612.32,11021.76,2025-11-07,Oeste,0.05
68688,Kit Pro 170,electrónica,17,90.27,1534.59,2025-05-10,Norte,0.27
41767,Set Smart 388,electrónica,20,399.69,7993.8,2025-04-25,Centro,0.16
30056,Set Mini 319,hogar,7,589.65,4127.55,2025-03-19,Centro,0.09
40605,Sistema Mini 622,electrónica,15,657.94,9869.1,2025-09-12,Centro,0.15
85739,Unidad Plus 252,deportes,18,996.55,17937.9,2026-02-24,Este,0.06
17937,Dispositivo Lite 424,ropa,9,577.98,5201.82,2025-12-20,Centro,0.26
13785,Pack Lite 399,libros,13,176.95,2300.35,2026-02-09,Norte,0.19
92638,Kit Premium 791,juguetes,15,958.2,14373.0,2025-11-01,Norte,0.24
47983,Unidad Ultra 923,deportes,15,460.35,6905.25,2025-06-14,Este,0.3
90869,Hub Premium 298,ropa,11,80.12,881.32,2026-03-19,Sur,0.13
23419,Sistema Smart 249,libros,12,947.63,11371.56,2025-04-27,Sur,0.06
85853,Hub Pro 330,juguetes,12,82.68,992.16,2025-09-15,Sur,0.16
60123,Pack Lite 945,ropa,13,451.55,5870.15,2025-07-30,Centro,0.27
17128,Hub Premium 132,libros,14,302.56,4235.84,2026-03-09,Norte,0.21
14199,Hub Smart 860,libros,20,343.77,6875.4,2026-01-26,Centro,0.25
92732,Sistema Smart 174,libros,18,905.8,16304.4,2026-01-13,Oeste,0.24
53940,Hub Max 273,hogar,17,771.68,13118.56,2025-06-27,Sur,0.06
58573,Set Smart 485,juguetes,3,942.28,2826.84,2025-08-22,Centro,0.27
81737,Pack Lite 687,electrónica,11,928.73,10216.03,2025-04-19,Este,0.19
